index	sample
328	['CNhs11866']
329	['CNhs11853']
330	['CNhs11724']
331	['CNhs11252']
332	['CNhs12338', 'CNhs12726', 'CNhs13815']
333	['CNhs12522', 'CNhs12526', 'CNhs12530']
334	['CNhs10862', 'CNhs11959', 'CNhs11905']
335	['CNhs10747']
336	['CNhs10644']
337	['CNhs10881', 'CNhs12019', 'CNhs12063']
338	['CNhs13798', 'CNhs12320']
339	['CNhs14073']
340	['CNhs11787']
341	['CNhs11784']
342	['CNhs11736']
343	['CNhs10643']
344	['CNhs13816', 'CNhs13817', 'CNhs13818', 'CNhs13819']
345	['CNhs12611']
346	['CNhs12586']
347	['CNhs13449']
348	['CNhs11810']
349	['CNhs11311', 'CNhs11980', 'CNhs12035']
350	['CNhs11078', 'CNhs11385', 'CNhs12036']
351	['CNhs10626']
352	['CNhs11756']
353	['CNhs11738']
354	['CNhs11832']
355	['CNhs10877']
356	['CNhs10734']
357	['CNhs10642']
358	['CNhs14226']
359	['CNhs13797', 'CNhs12317', 'CNhs10641']
360	['CNhs11782']
361	['CNhs14074']
362	['CNhs12849']
363	['CNhs12850']
364	['CNhs11734']
365	['CNhs11317', 'CNhs12079', 'CNhs12116']
366	['CNhs12587', 'CNhs12590']
367	['CNhs10860', 'CNhs11958', 'CNhs12002']
368	['CNhs13804', 'CNhs12228', 'CNhs14230']
369	['CNhs13805', 'CNhs12229', 'CNhs14231']
370	['CNhs10627']
371	['CNhs11079', 'CNhs11386', 'CNhs12037']
372	['CNhs12807']
373	['CNhs11933']
374	['CNhs10640']
375	['CNhs13059']
376	['CNhs10638']
377	['CNhs11052', 'CNhs11971']
378	['CNhs11065', 'CNhs11902', 'CNhs12013']
379	['CNhs12065']
380	['CNhs11081', 'CNhs11981', 'CNhs12038']
381	['CNhs11082', 'CNhs11982', 'CNhs12039']
382	['CNhs12520', 'CNhs12525', 'CNhs12529']
383	['CNhs11243']
384	['CNhs10882', 'CNhs11972', 'CNhs12014']
385	['CNhs10883', 'CNhs11973', 'CNhs12015']
386	['CNhs13056']
387	['CNhs10628']
388	['CNhs12324', 'CNhs13912', 'CNhs14225', 'CNhs14618']
389	['CNhs14083']
390	['CNhs11255']
391	['CNhs11777']
392	['CNhs10729']
393	['CNhs11257']
394	['CNhs11331']
395	['CNhs12728']
396	['CNhs11332', 'CNhs12088', 'CNhs12732']
397	['CNhs13057']
398	['CNhs12074', 'CNhs12086', 'CNhs12624', 'CNhs13080']
399	['CNhs11333', 'CNhs12089', 'CNhs12121']
400	['CNhs11330', 'CNhs12087', 'CNhs12120']
401	['CNhs10636']
402	['CNhs10842', 'CNhs11338', 'CNhs12096', 'CNhs12733']
403	['CNhs11267']
404	['CNhs11269']
405	['CNhs12810', 'CNhs12811', 'CNhs12812', 'CNhs11677']
406	['CNhs12073', 'CNhs12345', 'CNhs12621']
407	['CNhs10847', 'CNhs11951', 'CNhs11995']
408	['CNhs13060']
409	['CNhs12851']
410	['CNhs13508']
411	['CNhs13099']
412	['CNhs10851', 'CNhs11974']
413	['CNhs11270']
414	['CNhs13454']
415	['CNhs11084', 'CNhs11984', 'CNhs12041']
416	['CNhs11083', 'CNhs11983', 'CNhs12040', 'CNhs12053', 'CNhs12056', 'CNhs12060']
417	['CNhs10869', 'CNhs11964', 'CNhs12008']
418	['CNhs10629']
419	['CNhs13505']
420	['CNhs11776']
421	['CNhs13458']
422	['CNhs11774']
423	['CNhs11785', 'CNhs10884', 'CNhs11975', 'CNhs12016']
424	['CNhs11812']
425	['CNhs10630']
426	['CNhs11773']
427	['CNhs14183', 'CNhs14184', 'CNhs14186', 'CNhs14187', 'CNhs14188', 'CNhs14189']
428	['CNhs14190', 'CNhs14191', 'CNhs14192', 'CNhs14193']
429	['CNhs11950']
430	['CNhs10838', 'CNhs11085', 'CNhs11305', 'CNhs11309']
431	['CNhs12893']
432	['CNhs11086', 'CNhs11985', 'CNhs12043']
433	['CNhs10863', 'CNhs11900', 'CNhs12004']
434	['CNhs11328', 'CNhs12348']
435	['CNhs11087', 'CNhs11986', 'CNhs12044']
436	['CNhs10868', 'CNhs11963', 'CNhs12007']
437	['CNhs11088', 'CNhs11987', 'CNhs12045']
438	['CNhs11324', 'CNhs12727']
439	['CNhs11067', 'CNhs11988', 'CNhs12046']
440	['CNhs11731']
441	['CNhs13503']
442	['CNhs12595']
443	['CNhs11920', 'CNhs11976', 'CNhs11910']
444	['CNhs11089', 'CNhs11989', 'CNhs12047']
445	['CNhs11090', 'CNhs11990', 'CNhs12048']
446	['CNhs11329', 'CNhs12567', 'CNhs12894']
