GeneID	tissue_spec	tissue_spec_tau
ENSG00000272455.1	0.2159357598774555	0.4770462641956976
ENSG00000235098.4	0.2150785289247148	0.4647795019461491
ENSG00000225905.1	0.2257236668457071	0.5891792443668441
ENSG00000205116.3	0.3028361546041589	0.8744436489798969
ENSG00000225285.1	0.23484232438343633	0.6616773394361262
ENSG00000179403.10	0.21561422477372483	0.4725016777271998
ENSG00000215915.5	0.22293311492552514	0.5616591200311399
ENSG00000160072.15	0.20455678391769583	0.26235774889998004
ENSG00000197785.9	0.20380915857042659	0.24302270906933712
ENSG00000205090.4	0.22308694108040106	0.5632559370887196
ENSG00000160075.10	0.19866094915129662	0.08198254489118392
ENSG00000215014.3	0.23111727706696295	0.634845459221483
ENSG00000236684.1	NA	NaN
ENSG00000228594.1	0.22634128046254665	0.5948802585957751
